voxel_index,fiber_index,true_n_fibers,est_n_fibers,true_theta,true_phi,true_v,est_theta_matched,est_phi_matched,est_v_matched,acc,true_angular_separation,est_angular_separation,vol_frac,method,experiment
51,1.0,2.0,2.0,2.5598361,3.1415927,0.5,0.5817912143229611,-0.0002035483920737,0.5001569820167872,0.9999999039164076,1.5707962476195816,1.5709578105391768,0.5,fod2fixel,angle
52,0.0,2.0,2.0,2.2147439,4.376401,0.5,0.926825186322205,1.2347092838772795,0.4999618553887384,0.9999999522091856,1.5707965751551485,1.5704360477037702,0.5,fod2fixel,angle
52,1.0,2.0,2.0,1.1569644,3.1415927,0.5,1.9844407020756647,0.000261756190574,0.5000381446112616,0.9999993520024136,1.5707965751551485,1.5704360477037702,0.5,fod2fixel,angle
53,0.0,2.0,2.0,1.0391675,0.8914769,0.5,1.0393249444942905,0.8915897823738402,0.4998361385941512,0.9999997602836972,1.5707963373175662,1.5706535267692627,0.5,fod2fixel,angle
53,1.0,2.0,2.0,0.7523967,3.1415927,0.5,2.389271872548454,0.0002564116657686,0.5001638614058488,0.9999997448781152,1.5707963373175662,1.5706535267692627,0.5,fod2fixel,angle
54,0.0,2.0,2.0,1.1601189,2.235971,0.5,1.159959923050545,2.2359297626601986,0.4999875392033043,0.9999998130078152,1.5707964079692713,1.570428787658411,0.5,fod2fixel,angle
54,1.0,2.0,2.0,2.52718,3.1415927,0.5,0.6142420914991918,0.0002177133885144,0.5000124607966957,0.9999996861068936,1.5707964079692713,1.570428787658411,0.5,fod2fixel,angle
55,0.0,2.0,2.0,1.9188174,0.43694118,0.5,1.918853542738692,0.4368912926704367,0.4999925343952852,0.9999999754636476,1.5707964058731827,1.5706502273975136,0.5,fod2fixel,angle
55,1.0,2.0,2.0,2.7607367,3.1415927,0.5,0.3809441145904175,0.0006323898919853,0.5000074656047148,0.99999955880867,1.5707964058731827,1.5706502273975136,0.5,fod2fixel,angle
56,0.0,2.0,2.0,0.06427836,2.0880747,0.5,0.064976240406301,2.084524914385347,0.4999268929703133,0.9999962228276088,1.5707963912661957,1.5710853107412968,0.5,fod2fixel,angle
56,1.0,2.0,2.0,1.6026162,3.1415927,0.5,1.5391267582514914,0.0001103317912775,0.5000731070296867,0.9999997568876656,1.5707963912661957,1.5710853107412968,0.5,fod2fixel,angle
57,0.0,2.0,2.0,1.9467078,1.7455771,0.5,1.946802381178025,1.745831509941388,0.4997769439175768,0.9999995454381234,1.570796333963317,1.5711935092676348,0.5,fod2fixel,angle
57,1.0,2.0,2.0,1.1557946,3.1415927,0.5,1.9858998556379075,-0.0003170913117883,0.5002230560824232,0.9999993377151142,1.570796333963317,1.5711935092676348,0.5,fod2fixel,angle
58,0.0,2.0,2.0,1.6397811,4.8884864,0.5,1.5019775028672036,1.7470285300928017,0.4999468209788481,0.9999996805941264,1.5707964417305418,1.5709771003025508,0.5,fod2fixel,angle
58,1.0,2.0,2.0,2.7659225,3.1415927,0.5,0.3757644783788965,0.0001120847784382,0.5000531790211519,0.9999999258362308,1.5707964417305418,1.5709771003025508,0.5,fod2fixel,angle
59,0.0,2.0,2.0,1.1607242,1.7914284,0.5,1.1606846237394663,1.79129685613097,0.5000480811993803,0.9999998871113848,1.5707963168089836,1.5706009738785103,0.5,fod2fixel,angle
59,1.0,2.0,2.0,2.0371783,3.1415927,0.5,1.104399388306894,8.028823999835375e-05,0.4999519188006198,0.9999999625064692,1.5707963168089836,1.5706009738785103,0.5,fod2fixel,angle
